name,description,skills_required,domain,level
Gatsby.js Development,Building blazing-fast static and dynamic sites using React.,javascript;react;graphql;gatsby;web dev,Programming,Advanced
Go Programming Essentials,"Learn the Go language for scalable, concurrent applications.",go;concurrency;systems programming;rest,Programming,Intermediate
TypeScript Mastery,Adding strong typing to JavaScript for large-scale application development.,typescript;javascript;oop;web dev,Programming,Advanced
C# and .NET Core,"Building modern, cross-platform enterprise applications.",c#;.net core;oop;azure;web dev,Programming,Intermediate
iOS App Development with SwiftUI,Building modern Apple apps using the declarative SwiftUI framework.,swift;swiftui;xcode;ios;mobile dev,Programming,Advanced
Machine Learning Engineering,"Deploying, scaling, and maintaining ML models in production.",python;docker;kubernetes;ml;devops,Data Science,Advanced
Time Series Forecasting,Advanced techniques for predicting future trends in sequential data.,python;r;stats;time series;forecasting,Data Science,Advanced
A/B Testing and Experiment Design,Designing and analyzing online experiments for product optimization.,statistics;hypothesis testing;experiment design;data analytics,Data Science,Intermediate
Data Governance and Ethics,"Establishing policies and standards for data quality, privacy, and compliance.",compliance;gdpr;data policy;risk management,Data Science,Advanced
Cloud Data Warehousing (Snowflake),Designing and optimizing modern cloud data warehouse architectures.,sql;snowflake;cloud;data architecture;etl,Data Science,Advanced
Agile Scrum Master Certification,Mastering the role of Scrum Master and facilitating Agile teams.,scrum;agile;facilitation;coaching;team management,Management,Intermediate
IT Service Management (ITSM),Implementing ITIL frameworks for efficient delivery of IT services.,itil;itsm;service delivery;operations;sla management,Management,Intermediate
Negotiation for Managers,High-stakes negotiation strategies for internal and external business deals.,negotiation;conflict resolution;strategy;influence,Management,Advanced
Employee Performance Management,"Setting goals, providing feedback, and conducting meaningful reviews.",performance review;feedback;hr;coaching;management,Management,Intermediate
OKR Deployment Workshop,Hands-on training for setting Objectives and Key Results organization-wide.,okr;goal setting;strategy;change management,Management,Advanced
Consumer Behavior Analysis,Understanding the psychological drivers behind purchasing decisions.,consumer psychology;marketing;data analysis;market research,Business,Intermediate
E-commerce SEO Strategy,Optimizing product pages and site structure for maximum organic visibility.,seo;ecommerce;keyword research;content marketing,Business,Advanced
Financial Modeling for Startups,Building 3-statement models for fundraising and operational planning.,excel;financial modeling;valuation;startup finance,Finance,Advanced
Alternative Investments (Hedge Funds),"Exploring non-traditional assets and strategies (Private Equity, Hedge Funds).",finance;investment;private equity;hedge funds;derivatives,Finance,Advanced
Wealth Management Principles,Comprehensive approach to high-net-worth individual financial planning.,finance;estate planning;tax law;investment management,Finance,Advanced
Insurance and Risk Mitigation,Understanding different insurance types and using them for personal/business risk transfer.,insurance;risk management;actuarial science;finance,Finance,Beginner
